ENSMUSG00000022111|Uchl3
ENSMUSG00000007656|Arpp19
ENSMUSG00000016253|Nelfcd
ENSMUSG00000017421|Zfp207
ENSMUSG00000063273|Naa15
ENSMUSG00000001524|Gtf2h4
ENSMUSG00000034442|Trmt5
ENSMUSG00000026229|Psmd1
ENSMUSG00000052738|Suclg1
ENSMUSG00000071533|Pcnp